"","Chr","Start","End","Band"
"710",7,90900000,92600000,"q21.2"
"711",7,92600000,97900000,"q21.3"
"712",7,97900000,104400000,"q22.1"
"713",7,104400000,105900000,"q22.2"
"714",7,105900000,107200000,"q22.3"
"715",7,107200000,114400000,"q31.1"
"716",7,114400000,117200000,"q31.2"
"717",7,117200000,120900000,"q31.31"
"718",7,120900000,123600000,"q31.32"
"719",7,123600000,126900000,"q31.33"
"720",7,126900000,129000000,"q32.1"
"721",7,129000000,130100000,"q32.2"
"722",7,130100000,132400000,"q32.3"
"723",7,132400000,137300000,"q33"
"724",7,137300000,142800000,"q34"
"725",7,142800000,147500000,"q35"
"726",7,147500000,152200000,"q36.1"
"727",7,152200000,154700000,"q36.2"
"728",7,154700000,158821424,"q36.3"
"729",8,0,2200000,"p23.3"
"730",8,2200000,6200000,"p23.2"
"731",8,6200000,12700000,"p23.1"
"732",8,12700000,19100000,"p22"
"733",8,19100000,23400000,"p21.3"
"734",8,23400000,27400000,"p21.2"
"735",8,27400000,29700000,"p21.1"
"736",8,29700000,38500000,"p12"
"737",8,38500000,39500000,"p11.23"
"738",8,39500000,39900000,"p11.22"
"739",8,39900000,43200000,"p11.21"
"740",8,43200000,45200000,"p11.1"
"741",8,45200000,48100000,"q11.1"
"742",8,48100000,50400000,"q11.21"
"743",8,50400000,52800000,"q11.22"
"744",8,52800000,55600000,"q11.23"
"745",8,55600000,61700000,"q12.1"
"746",8,61700000,62400000,"q12.2"
"747",8,62400000,66100000,"q12.3"
"748",8,66100000,68100000,"q13.1"
"749",8,68100000,70600000,"q13.2"
"750",8,70600000,74000000,"q13.3"
"751",8,74000000,78500000,"q21.11"
"752",8,78500000,80300000,"q21.12"
"753",8,80300000,84900000,"q21.13"
"754",8,84900000,87200000,"q21.2"
"755",8,87200000,93500000,"q21.3"
"756",8,93500000,99100000,"q22.1"
"757",8,99100000,101600000,"q22.2"
"758",8,101600000,106100000,"q22.3"
"759",8,106100000,110600000,"q23.1"
"760",8,110600000,112200000,"q23.2"
"761",8,112200000,117700000,"q23.3"
"762",8,117700000,119200000,"q24.11"
"763",8,119200000,122500000,"q24.12"
"764",8,122500000,127300000,"q24.13"
"765",8,127300000,131500000,"q24.21"
"766",8,131500000,136500000,"q24.22"
"767",8,136500000,140000000,"q24.23"
"768",8,140000000,146274826,"q24.3"
"769",9,0,2200000,"p24.3"
"770",9,2200000,4600000,"p24.2"
"771",9,4600000,9000000,"p24.1"
"772",9,9000000,14100000,"p23"
"773",9,14100000,16600000,"p22.3"
"774",9,16600000,18500000,"p22.2"
"775",9,18500000,19900000,"p22.1"
"776",9,19900000,25500000,"p21.3"
"777",9,25500000,28100000,"p21.2"
"778",9,28100000,32800000,"p21.1"
"779",9,32800000,36300000,"p13.3"
"780",9,36300000,38000000,"p13.2"
"781",9,38000000,40200000,"p13.1"
"782",9,40200000,42400000,"p12"
"783",9,42400000,46700000,"p11.2"
"784",9,46700000,51800000,"p11.1"
"785",9,51800000,60300000,"q11"
"786",9,60300000,70000000,"q12"
"787",9,70000000,70500000,"q13"
"788",9,70500000,72700000,"q21.11"
"789",9,72700000,73100000,"q21.12"
"790",9,73100000,79300000,"q21.13"
"791",9,79300000,80300000,"q21.2"
"792",9,80300000,83400000,"q21.31"
"793",9,83400000,86100000,"q21.32"
"794",9,86100000,89600000,"q21.33"
"795",9,89600000,91000000,"q22.1"
"796",9,91000000,93000000,"q22.2"
"797",9,93000000,95600000,"q22.31"
"798",9,95600000,98200000,"q22.32"
"799",9,98200000,101600000,"q22.33"
"800",9,101600000,107200000,"q31.1"
"801",9,107200000,110300000,"q31.2"
"802",9,110300000,113900000,"q31.3"
"803",9,113900000,116700000,"q32"
"804",9,116700000,122000000,"q33.1"
"805",9,122000000,125800000,"q33.2"
"806",9,125800000,129300000,"q33.3"
"807",9,129300000,132500000,"q34.11"
"808",9,132500000,132800000,"q34.12"
"809",9,132800000,134900000,"q34.13"
"810",9,134900000,136600000,"q34.2"
"811",9,136600000,140273252,"q34.3"
